wDate,Department,Revenue,Cost,Efficiency_Score,Status,Transaction_ID
2023-10-01,Sales,450000,320000,0.85,Completed,TXN_1001
2023-10-15,Sales,475000,315000,0.88,Completed,TXN_1002
2023-10-30,IT,120000,150000,0.62,Completed,TXN_1003
2023-11-05,Sales,510000,330000,0.89,Completed,TXN_1004
2023-11-12,Logistics,280000,295000,0.45,Completed,TXN_1005
2023-11-20,Sales,9500000,340000,0.92,Completed,TXN_1006_ANOMALY
2023-11-28,IT,115000,145000,0.65,Failed,TXN_1007_ERROR
2023-12-05,Sales,540000,345000,0.91,Completed,TXN_1008
2023-12-15,Logistics,310000,280000,0.78,Completed,TXN_1009
2023-12-22,IT,95000,160000,0.35,Completed,TXN_1010
2023-12-28,Sales,580000,350000,0.94,Completed,TXN_1011
2023-12-30,Logistics,325000,275000,0.82,Completed,TXN_1012
