sauce_id,raw_material_id,quantity_per_unit
SC001,RM001,0.45
SC001,RM004,0.02
SC001,RM005,0.015
SC001,RM002,0.01
SC001,RM011,0.05
SC001,RM015,0.008
SC001,RM014,0.012
SC002,RM001,0.4
SC002,RM007,0.025
SC002,RM002,0.015
SC002,RM011,0.06
SC002,RM023,0.02
SC002,RM015,0.01
SC003,RM011,0.25
SC003,RM002,0.008
SC003,RM006,0.005
SC003,RM015,0.01
SC003,RM030,0.003
SC003,RM073,0.015
SC004,RM004,0.15
SC004,RM011,0.2
SC004,RM002,0.01
SC004,RM006,0.005
SC004,RM015,0.008
SC004,RM050,0.02
SC005,RM001,0.35
SC005,RM082,0.08
SC005,RM081,0.05
SC005,RM035,0.04
SC005,RM036,0.03
SC005,RM011,0.04
SC005,RM068,0.05
SC005,RM015,0.01
SC006,RM092,0.3
SC006,RM029,0.08
SC006,RM013,0.04
SC006,RM020,0.005
SC006,RM014,0.06
SC006,RM061,0.01
SC007,RM092,0.28
SC007,RM060,0.02
SC007,RM061,0.025
SC007,RM029,0.09
SC007,RM013,0.05
SC007,RM006,0.008
SC008,RM092,0.25
SC008,RM059,0.08
SC008,RM029,0.07
SC008,RM013,0.06
SC008,RM002,0.01
SC008,RM008,0.008
SC009,RM092,0.22
SC009,RM028,0.1
SC009,RM089,0.08
SC009,RM013,0.05
SC009,RM020,0.008
SC009,RM014,0.04
SC010,RM092,0.24
SC010,RM028,0.08
SC010,RM020,0.015
SC010,RM013,0.06
SC010,RM023,0.012
SC010,RM014,0.05
SC011,RM099,0.35
SC011,RM038,0.04
SC011,RM031,0.08
SC011,RM016,0.03
SC011,RM015,0.01
SC011,RM002,0.008
SC012,RM001,0.3
SC012,RM031,0.1
SC012,RM082,0.05
SC012,RM038,0.03
SC012,RM016,0.02
SC012,RM015,0.012
SC013,RM033,0.12
SC013,RM001,0.25
SC013,RM082,0.04
SC013,RM002,0.015
SC013,RM016,0.025
SC013,RM015,0.01
SC014,RM033,0.08
SC014,RM100,0.15
SC014,RM016,0.04
SC014,RM014,0.03
SC014,RM015,0.008
SC014,RM038,0.02
SC015,RM059,0.1
SC015,RM016,0.06
SC015,RM038,0.03
SC015,RM002,0.01
SC015,RM015,0.01
SC015,RM008,0.008
SC016,RM007,0.04
SC016,RM014,0.12
SC016,RM013,0.05
SC016,RM002,0.008
SC016,RM022,0.006
SC016,RM051,0.02
SC017,RM007,0.15
SC017,RM002,0.02
SC017,RM013,0.04
SC017,RM014,0.03
SC017,RM015,0.012
SC017,RM076,0.005
SC018,RM017,0.2
SC018,RM014,0.08
SC018,RM022,0.008
SC018,RM002,0.01
SC018,RM065,0.03
SC018,RM050,0.01
SC019,RM017,0.15
SC019,RM014,0.06
SC019,RM022,0.01
SC019,RM002,0.012
SC019,RM050,0.015
SC019,RM065,0.02
SC020,RM052,0.1
SC020,RM017,0.08
SC020,RM014,0.05
SC020,RM018,0.04
SC020,RM002,0.008
SC020,RM050,0.012
SC021,RM081,0.15
SC021,RM011,0.2
SC021,RM016,0.04
SC021,RM015,0.008
SC021,RM030,0.005
SC021,RM089,0.02
SC022,RM011,0.25
SC022,RM002,0.01
SC022,RM030,0.005
SC022,RM015,0.01
SC022,RM073,0.02
SC023,RM058,0.3
SC023,RM011,0.15
SC023,RM002,0.015
SC023,RM004,0.01
SC023,RM015,0.01
SC023,RM016,0.02
SC024,RM057,0.25
SC024,RM004,0.1
SC024,RM011,0.18
SC024,RM002,0.012
SC024,RM015,0.008
SC024,RM050,0.015
