batch_id,sauce_id,produced_quantity,production_date
B00001,SC018,1657,2024-01-01
B00002,SC037,670,2024-01-02
B00003,SC050,353,2024-01-02
B00004,SC007,884,2024-01-02
B00005,SC017,1902,2024-01-02
B00006,SC018,973,2024-01-02
B00007,SC006,1751,2024-01-03
B00008,SC030,158,2024-01-04
B00009,SC048,155,2024-01-04
B00010,SC015,298,2024-01-04
B00011,SC038,249,2024-01-04
B00012,SC034,354,2024-01-04
B00013,SC016,806,2024-01-05
B00014,SC028,730,2024-01-05
B00015,SC031,1707,2024-01-06
B00016,SC021,908,2024-01-06
B00017,SC027,507,2024-01-06
B00018,SC036,1845,2024-01-06
B00019,SC011,1142,2024-01-07
B00020,SC019,466,2024-01-07
B00021,SC032,406,2024-01-07
B00022,SC029,439,2024-01-07
B00023,SC004,562,2024-01-07
B00024,SC017,1133,2024-01-08
B00025,SC019,653,2024-01-08
B00026,SC006,1738,2024-01-08
B00027,SC012,948,2024-01-08
B00028,SC026,1869,2024-01-08
B00029,SC038,280,2024-01-09
B00030,SC033,395,2024-01-10
B00031,SC018,882,2024-01-10
B00032,SC007,638,2024-01-10
B00033,SC008,661,2024-01-10
B00034,SC031,1612,2024-01-11
B00035,SC011,1226,2024-01-11
B00036,SC021,556,2024-01-11
B00037,SC004,500,2024-01-12
B00038,SC011,1996,2024-01-12
B00039,SC027,748,2024-01-12
B00040,SC006,1405,2024-01-12
B00041,SC003,887,2024-01-13
B00042,SC021,1131,2024-01-13
B00043,SC027,449,2024-01-13
B00044,SC018,1414,2024-01-13
B00045,SC030,174,2024-01-13
B00046,SC031,1729,2024-01-13
B00047,SC008,493,2024-01-14
B00048,SC012,940,2024-01-14
B00049,SC007,885,2024-01-14
B00050,SC043,1153,2024-01-14
B00051,SC017,1447,2024-01-15
B00052,SC043,1162,2024-01-15
B00053,SC021,1063,2024-01-15
B00054,SC012,1106,2024-01-15
B00055,SC007,1013,2024-01-15
B00056,SC018,1384,2024-01-16
B00057,SC042,183,2024-01-17
B00058,SC028,288,2024-01-17
B00059,SC031,940,2024-01-19
B00060,SC013,350,2024-01-19
B00061,SC037,586,2024-01-19
B00062,SC031,1621,2024-01-20
B00063,SC007,401,2024-01-21
B00064,SC001,1867,2024-01-21
B00065,SC020,291,2024-01-21
B00066,SC018,1945,2024-01-22
B00067,SC011,882,2024-01-22
B00068,SC023,272,2024-01-22
B00069,SC007,620,2024-01-22
B00070,SC033,253,2024-01-23
B00071,SC006,1819,2024-01-23
B00072,SC027,1147,2024-01-24
B00073,SC046,359,2024-01-24
B00074,SC010,86,2024-01-24
B00075,SC026,1092,2024-01-24
B00076,SC025,108,2024-01-24
B00077,SC037,716,2024-01-25
B00078,SC028,755,2024-01-25
B00079,SC050,479,2024-01-25
B00080,SC021,808,2024-01-26
B00081,SC042,108,2024-01-26
B00082,SC029,319,2024-01-27
B00083,SC031,1199,2024-01-27
B00084,SC031,1112,2024-01-28
B00085,SC004,511,2024-01-28
B00086,SC036,1040,2024-01-28
B00087,SC009,472,2024-01-28
B00088,SC026,976,2024-01-29
B00089,SC018,1862,2024-01-29
B00090,SC032,982,2024-01-29
B00091,SC006,1784,2024-01-30
B00092,SC008,788,2024-01-30
B00093,SC013,676,2024-01-30
B00094,SC047,153,2024-01-31
B00095,SC032,1133,2024-01-31
B00096,SC025,73,2024-01-31
B00097,SC036,1944,2024-01-31
B00098,SC042,264,2024-01-31
B00099,SC007,660,2024-02-01
B00100,SC004,749,2024-02-02
B00101,SC023,485,2024-02-02
B00102,SC036,1290,2024-02-03
B00103,SC009,481,2024-02-03
B00104,SC031,986,2024-02-03
B00105,SC037,803,2024-02-05
B00106,SC002,632,2024-02-05
B00107,SC036,875,2024-02-06
B00108,SC021,973,2024-02-07
B00109,SC042,83,2024-02-07
B00110,SC027,462,2024-02-08
B00111,SC038,661,2024-02-08
B00112,SC038,517,2024-02-08
B00113,SC026,905,2024-02-08
B00114,SC008,714,2024-02-08
B00115,SC036,1355,2024-02-09
B00116,SC033,416,2024-02-09
B00117,SC008,455,2024-02-09
B00118,SC001,1275,2024-02-09
B00119,SC006,1156,2024-02-09
B00120,SC043,614,2024-02-10
B00121,SC018,1575,2024-02-10
B00122,SC036,1281,2024-02-10
B00123,SC018,1519,2024-02-11
B00124,SC031,1125,2024-02-11
B00125,SC004,399,2024-02-11
B00126,SC001,868,2024-02-11
B00127,SC031,1690,2024-02-12
B00128,SC030,95,2024-02-12
B00129,SC006,1640,2024-02-12
B00130,SC044,645,2024-02-13
B00131,SC043,447,2024-02-14
B00132,SC046,485,2024-02-15
B00133,SC049,464,2024-02-15
B00134,SC037,962,2024-02-15
B00135,SC018,1858,2024-02-15
B00136,SC036,1090,2024-02-15
B00137,SC007,1000,2024-02-15
B00138,SC006,1377,2024-02-16
B00139,SC017,1172,2024-02-16
B00140,SC024,189,2024-02-17
B00141,SC017,1150,2024-02-17
B00142,SC044,616,2024-02-17
B00143,SC002,1197,2024-02-17
B00144,SC019,499,2024-02-17
B00145,SC003,616,2024-02-18
B00146,SC039,350,2024-02-18
B00147,SC012,569,2024-02-18
B00148,SC026,1978,2024-02-18
B00149,SC036,821,2024-02-18
B00150,SC043,778,2024-02-18
B00151,SC008,362,2024-02-18
B00152,SC027,1149,2024-02-19
B00153,SC020,402,2024-02-19
B00154,SC031,1539,2024-02-19
