sale_id,customer_id,sauce_id,quantity_sold,unit_price,sale_date
S000001,C019,SC037,29,10.49,2024-01-01
S000002,C008,SC002,128,8.54,2024-01-01
S000003,C002,SC011,79,6.64,2024-01-01
S000004,C007,SC036,104,8.99,2024-01-01
S000005,C008,SC007,138,7.64,2024-01-01
S000006,C004,SC031,73,6.64,2024-01-02
S000007,C010,SC026,106,4.49,2024-01-02
S000008,C012,SC001,205,7.64,2024-01-02
S000009,C011,SC001,101,8.09,2024-01-02
S000010,C014,SC021,68,10.92,2024-01-02
S000011,C004,SC017,41,6.49,2024-01-02
S000012,C016,SC022,26,15.99,2024-01-02
S000013,C002,SC026,123,4.49,2024-01-02
S000014,C005,SC032,101,6.74,2024-01-03
S000015,C011,SC017,199,5.84,2024-01-03
S000016,C010,SC006,125,7.19,2024-01-03
S000017,C017,SC014,63,8.54,2024-01-03
S000018,C006,SC003,108,9.89,2024-01-03
S000019,C011,SC026,233,4.24,2024-01-03
S000020,C017,SC015,64,7.59,2024-01-04
S000021,C001,SC025,88,9.49,2024-01-04
S000022,C017,SC011,127,6.29,2024-01-04
S000023,C012,SC027,272,4.67,2024-01-04
S000024,C015,SC036,73,9.49,2024-01-04
S000025,C018,SC022,31,15.99,2024-01-04
S000026,C002,SC043,113,8.09,2024-01-05
S000027,C007,SC001,76,8.54,2024-01-05
S000028,C013,SC001,204,7.64,2024-01-05
S000029,C010,SC032,81,7.12,2024-01-05
S000030,C008,SC007,62,8.07,2024-01-05
S000031,C007,SC018,85,8.54,2024-01-05
S000032,C010,SC012,143,6.29,2024-01-05
S000033,C014,SC023,31,10.49,2024-01-06
S000034,C009,SC001,187,8.09,2024-01-07
S000035,C008,SC026,57,4.74,2024-01-07
S000036,C017,SC012,134,6.29,2024-01-08
S000037,C015,SC011,96,6.64,2024-01-08
S000038,C013,SC006,300,6.79,2024-01-08
S000039,C005,SC026,69,4.74,2024-01-08
S000040,C011,SC037,227,8.92,2024-01-09
S000041,C018,SC050,24,11.99,2024-01-09
S000042,C009,SC036,166,8.99,2024-01-09
S000043,C006,SC037,53,9.97,2024-01-09
S000044,C002,SC011,116,6.29,2024-01-09
S000045,C004,SC006,60,7.59,2024-01-09
S000046,C007,SC037,79,9.97,2024-01-10
S000047,C016,SC022,35,15.99,2024-01-10
S000048,C004,SC006,44,7.99,2024-01-10
S000049,C001,SC022,1,15.99,2024-01-10
S000050,C003,SC026,133,4.49,2024-01-10
S000051,C008,SC026,51,4.74,2024-01-10
S000052,C015,SC036,41,9.99,2024-01-10
S000053,C014,SC046,31,9.99,2024-01-11
S000054,C017,SC026,110,4.49,2024-01-11
S000055,C009,SC031,104,6.29,2024-01-11
S000056,C006,SC002,67,9.02,2024-01-11
S000057,C011,SC036,137,8.99,2024-01-11
S000058,C005,SC032,124,6.74,2024-01-11
S000059,C015,SC021,77,10.92,2024-01-12
S000060,C012,SC001,151,8.09,2024-01-12
S000061,C009,SC036,193,8.99,2024-01-12
S000062,C007,SC037,128,9.44,2024-01-12
S000063,C012,SC032,136,6.74,2024-01-13
S000064,C013,SC036,180,8.99,2024-01-14
S000065,C006,SC032,165,6.74,2024-01-14
S000066,C016,SC021,21,11.49,2024-01-15
S000067,C016,SC050,93,11.39,2024-01-15
S000068,C010,SC006,109,7.19,2024-01-15
S000069,C015,SC016,79,7.12,2024-01-15
S000070,C012,SC001,163,8.09,2024-01-15
S000071,C014,SC017,23,6.49,2024-01-16
S000072,C017,SC011,41,6.99,2024-01-16
S000073,C007,SC031,80,6.64,2024-01-16
S000074,C007,SC036,120,8.99,2024-01-16
S000075,C017,SC026,128,4.49,2024-01-16
S000076,C016,SC050,66,11.39,2024-01-16
S000077,C001,SC049,113,7.19,2024-01-16
S000078,C004,SC026,119,4.49,2024-01-17
S000079,C015,SC011,50,6.99,2024-01-17
S000080,C010,SC011,155,6.29,2024-01-17
S000081,C006,SC036,199,8.99,2024-01-18
S000082,C002,SC003,117,9.89,2024-01-18
S000083,C010,SC036,112,8.99,2024-01-18
S000084,C010,SC036,161,8.99,2024-01-18
S000085,C016,SC021,63,10.92,2024-01-18
S000086,C011,SC006,151,7.19,2024-01-18
S000087,C005,SC001,121,8.09,2024-01-18
S000088,C008,SC036,82,9.49,2024-01-18
S000089,C006,SC002,127,8.54,2024-01-19
S000090,C016,SC004,44,12.49,2024-01-19
S000091,C016,SC050,24,11.99,2024-01-19
S000092,C012,SC031,113,6.29,2024-01-19
S000093,C006,SC005,166,10.79,2024-01-19
S000094,C017,SC006,145,7.19,2024-01-19
S000095,C017,SC015,127,7.19,2024-01-19
S000096,C011,SC006,112,7.19,2024-01-20
S000097,C015,SC016,20,7.49,2024-01-20
S000098,C014,SC004,36,12.49,2024-01-21
S000099,C012,SC032,273,6.37,2024-01-22
S000100,C012,SC036,277,8.49,2024-01-22
S000101,C006,SC007,194,7.64,2024-01-22
S000102,C018,SC025,18,9.99,2024-01-23
S000103,C001,SC001,91,8.54,2024-01-23
S000104,C006,SC001,146,8.09,2024-01-23
S000105,C003,SC027,91,5.22,2024-01-23
S000106,C003,SC031,149,6.29,2024-01-23
S000107,C009,SC001,180,8.09,2024-01-23
S000108,C001,SC023,33,10.49,2024-01-23
S000109,C002,SC003,118,9.89,2024-01-23
